234,0,1,0,0
640,0,1,0,0
832,0,1,0,0
1024,0,1,0,0
1514,0,1,0,0
2026,0,0,1,0
2410,0,0,1,0
2880,3456,0,1,0
3861,0,0,1,0
4266,0,0,1,0
4458,0,0,1,0
4736,0,0,1,0
5226,0,0,0,1
5824,0,1,0,0
5973,0,1,0,0
6186,0,1,0,0
6592,0,1,0,1
7552,0,0,1,0
7978,0,0,1,0
8149,0,0,1,0
8384,0,0,1,0
8704,0,0,1,0
9024,0,0,1,0
9429,0,0,0,1
9856,0,1,0,0
10346,0,1,0,1
10517,0,1,0,1
10730,0,1,0,1
11157,0,1,0,0
11840,0,1,0,0
12074,0,1,0,0
12245,0,1,0,0
12693,0,0,1,0
13077,0,0,0,1
14933,0,0,1,0
15360,0,0,0,1
15530,0,0,0,1
15744,0,0,0,1
16234,0,0,0,1
16661,0,1,0,0
17152,0,1,0,0
17642,18218,1,0,0
18624,0,0,1,0
19029,0,0,1,0
19200,0,0,1,0
19434,0,0,1,0
19904,0,0,1,0
20394,0,1,0,1
20608,0,0,0,1
20842,0,0,0,1
21312,0,1,0,0
22293,0,0,1,0
22741,0,0,1,0
22954,0,0,1,0
23232,0,0,1,0
23658,0,0,0,1
24128,0,1,0,0
24576,0,1,0,0
25002,25578,1,0,1
26026,0,1,0,1
26453,0,1,0,1
26645,0,1,0,1
26944,0,1,0,1
27370,0,0,1,0
27584,0,0,1,0
27754,0,0,1,0
29674,0,0,0,1
30144,0,0,0,1
30570,0,0,0,1
31018,0,1,0,0
31488,0,1,0,0
31893,0,1,0,0
32383,0,1,0,1
32832,0,1,0,1
33344,33877,0,1,0
34304,34816,0,1,0
35242,0,0,0,1
35648,0,0,0,1
36117,0,1,0,0
37098,0,0,0,1
37525,0,0,0,1
37973,0,0,1,0
38400,0,0,1,0
38890,0,0,0,1
39317,0,0,0,1
39808,0,1,0,0
40234,0,1,0,0
40746,41258,1,0,1
41664,42154,1,0,1
42517,43093,0,1,0
43456,0,0,1,0
43946,0,0,1,0
44437,0,0,0,1
44885,0,0,0,1
45376,0,1,0,0
45760,0,1,0,0
46272,0,1,1,0
46677,0,1,1,0
47210,47765,0,1,0
48149,0,0,1,0
48576,0,0,1,0
49045,0,0,0,1
49450,0,0,0,1
49984,0,1,0,1
50389,0,0,1,0
50837,0,0,1,1
51861,0,1,0,0
52266,0,1,0,0
52714,0,1,1,0
53120,0,1,1,0
53653,0,0,1,1
54058,0,0,1,1
54549,55125,0,1,0
55530,0,0,1,1
55893,0,0,1,1
56384,0,1,0,0
56832,0,1,0,1
57301,0,0,1,0
58453,0,0,1,0
