46,0,1,1,0
208,0,1,1,0
371,0,1,1,0
557,0,1,1,0
696,0,1,1,0
859,0,1,1,0
998,0,1,1,0
1160,0,1,1,0
1277,0,1,1,0
1462,0,1,1,0
1834,0,1,1,0
1996,0,1,1,0
2159,0,1,1,0
2298,0,1,1,0
2438,0,1,1,0
2554,0,1,1,0
2739,0,1,1,0
2809,0,1,1,0
2902,0,1,1,0
3181,0,1,1,0
3274,0,1,1,0
3320,0,1,1,0
3436,0,1,1,0
3599,0,1,1,0
3761,0,1,1,0
4063,0,1,1,0
4179,0,1,1,0
4295,0,1,1,0
4388,0,1,1,0
4527,0,1,1,0
4620,0,1,1,0
4876,0,1,1,0
4992,0,1,1,0
5131,0,1,1,0
5247,0,1,1,0
5363,0,1,1,0
5503,0,1,1,0
5665,0,1,1,0
5828,0,1,1,0
5967,0,1,1,0
6106,0,1,1,0
6222,0,1,1,0
6385,0,1,1,0
6478,0,1,1,0
6640,0,1,1,0
6780,0,1,1,0
6919,0,1,1,0
7082,0,1,1,0
7198,0,1,1,0
7360,0,1,1,0
7476,0,1,1,0
7616,0,1,1,0
7755,0,1,1,0
7894,0,1,1,0
8010,0,1,1,0
8173,0,1,1,0
8335,0,1,1,0
8452,0,1,1,0
8591,0,1,1,0
